"answer_key_id","answer_key_profile","profile_description","answer_key"
"ak_001","canonical_disyllabic","Heard word with one or two syllables, exclusively in the canonical CV pattern, related to its written representation.","FILA"
"ak_002","canonical_disyllabic","Heard word with one or two syllables, exclusively in the canonical CV pattern, related to its written representation.","GALÉ"
"ak_003","canonical_disyllabic","Heard word with one or two syllables, exclusively in the canonical CV pattern, related to its written representation.","ROLO"
"ak_004","canonical_disyllabic","Heard word with one or two syllables, exclusively in the canonical CV pattern, related to its written representation.","SOPA"
"ak_005","canonical_disyllabic","Heard word with one or two syllables, exclusively in the canonical CV pattern, related to its written representation.","PELO"
"ak_006","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","FIGURA"
"ak_007","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","JARERÉ"
"ak_008","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","JAVALI"
"ak_009","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","GARAPA"
"ak_010","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","CANAPÉ"
"ak_011","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","MACARÉ"
"ak_012","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","RODAPÉ"
"ak_013","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","GAZEBO"
"ak_014","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","GALEGA"
"ak_015","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","FARELO"
"ak_016","canonical_trisyllabic","Heard word with three syllables, exclusively in the canonical CV pattern, related to its written representation.","FAROFA"
"ak_017","canonical_polysyllabic","Heard word with four or more syllables, exclusively in the canonical CV pattern, related to its written representation.","TUCUNARÉ"
"ak_018","canonical_polysyllabic","Heard word with four or more syllables, exclusively in the canonical CV pattern, related to its written representation.","PANETONE"
"ak_019","canonical_polysyllabic","Heard word with four or more syllables, exclusively in the canonical CV pattern, related to its written representation.","BATUMADO"
"ak_020","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","FIO"
"ak_021","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","PAPEL"
"ak_022","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","TROMBA"
"ak_023","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","LOMBO"
"ak_024","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","ARTE"
"ak_025","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","CARTA"
"ak_026","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","CICLO"
"ak_027","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","CISCO"
"ak_028","noncanonical_disyllabic","Heard word with one or two syllables in different syllabic patterns, related to its written representation.","BANZÉ"
"ak_029","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","BATIZADO"
"ak_030","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","PENTEADO"
"ak_031","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","DOBRADURA"
"ak_032","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","DICIONÁRIO"
"ak_033","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","INGREDIENTE"
"ak_034","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","MOTOCICLETA"
"ak_035","noncanonical_polysyllabic","Heard word with four or more syllables in different syllabic patterns, related to its written representation.","IGARAPÉ"
